date,data
01-01-1960,0.71
01-04-1960,0.63
02-07-1960,0.85
01-10-1960,0.44
01-01-1961,0.61
02-04-1961,0.69
02-07-1961,0.92
01-10-1961,0.55
01-01-1962,0.72
02-04-1962,0.77
02-07-1962,0.92
01-10-1962,0.6
01-01-1963,0.83
02-04-1963,0.8
02-07-1963,1
01-10-1963,0.77
01-01-1964,0.92
01-04-1964,1
02-07-1964,1.24
01-10-1964,1
01-01-1965,1.16
02-04-1965,1.3
02-07-1965,1.45
01-10-1965,1.25
01-01-1966,1.26
02-04-1966,1.38
02-07-1966,1.86
01-10-1966,1.56
01-01-1967,1.53
02-04-1967,1.59
02-07-1967,1.83
01-10-1967,1.86
01-01-1968,1.53
01-04-1968,2.07
02-07-1968,2.34
01-10-1968,2.25
01-01-1969,2.16
02-04-1969,2.43
02-07-1969,2.7
01-10-1969,2.25
01-01-1970,2.79
02-04-1970,3.42
02-07-1970,3.69
01-10-1970,3.6
01-01-1971,3.6
02-04-1971,4.32
02-07-1971,4.32
01-10-1971,4.05
01-01-1972,4.86
01-04-1972,5.04
02-07-1972,5.04
01-10-1972,4.41
01-01-1973,5.58
02-04-1973,5.85
02-07-1973,6.57
01-10-1973,5.31
01-01-1974,6.03
02-04-1974,6.39
02-07-1974,6.93
01-10-1974,5.85
01-01-1975,6.93
02-04-1975,7.74
02-07-1975,7.83
01-10-1975,6.12
01-01-1976,7.74
01-04-1976,8.91
02-07-1976,8.28
01-10-1976,6.84
01-01-1977,9.54
02-04-1977,10.26
02-07-1977,9.54
01-10-1977,8.729999
01-01-1978,11.88
02-04-1978,12.06
02-07-1978,12.15
01-10-1978,8.91
01-01-1979,14.04
02-04-1979,12.96
02-07-1979,14.85
01-10-1979,9.99
01-01-1980,16.2
01-04-1980,14.67
02-07-1980,16.02
01-10-1980,11.61
